Logismoi (Evagrius),Humility (Apophthegmata/Macarius),Prayer (Evagrius/Cassian),Speech (Apophthegmata),Detachment (Anthony),Acedia (Evagrius/Cassian),Scripture Meditation (Cassian),Daily Rhythm Examination (Composite)
What thought has most occupied my mind today?,Did I seek recognition today?,Was my prayer distracted?,Was what I said necessary?,What loss disturbed me today?,Did I feel restless in stillness?,What does this reveal about God?,What thoughts greet me upon waking?
When did it first arise?,Was I disturbed when overlooked?,Did images dominate my mind in prayer?,Did I speak beyond what I know?,What possession do I fear losing?,Did I crave novelty?,What does this expose in me?,What do I anticipate most today?
"What triggered it—memory, image, fear, desire?",Did criticism unsettle me disproportionately?,Did resentment surface while praying?,Did I speak to gain approval?,Was I irritated by inconvenience?,Did I resent my place or calling?,What passion resists this truth?,What fear is present?
"Did I immediately reject it, entertain it, or dialogue with it?",Did I defend myself unnecessarily?,Did I rush through prayer?,Did I interrupt?,Did I cling to comfort?,Did I fantasize about being elsewhere?,What must be surrendered?,What attachment may be tested?
What passion does this thought stir?,Did I compare myself to another?,Did I pray from fear rather than love?,Did I exaggerate?,Did I resist obscurity?,Did prayer feel pointless?,What thought contradicts this passage?,What interior disturbance has surfaced?
Does this thought produce agitation or interior stillness?,Did I judge someone internally?,Was I seeking to appear devout?,Did I speak from irritation?,Would I remain peaceful if misunderstood?,Did I avoid my responsibilities?,Where does this call me to humility?,What passion is active?
"Does it promise relief, pleasure, recognition, or control?",Did I excuse my own fault while magnifying another’s?,Did anxiety cling to me during prayer?,Did I speak about someone absent?,Did I grasp for control?,Did I repeatedly seek distraction?,Does this text disturb or comfort me? Why?,Did I consent to it?
Has it returned repeatedly?,Was I more aware of others’ sins than my own?,Did I resist silence?,Did I disclose something not entrusted to me?,Do I need to be right?,Did discouragement exaggerate difficulty?,Am I reading to analyze or to repent?,Where did I resist humility?
Did it intensify when I was tired or alone?,Did I accept correction peacefully?,Was my prayer mechanical?,Did silence make me uncomfortable?,Was I disturbed by lack of recognition?,Did I abandon a discipline prematurely?,Does this passage lead to compunction?,Where did I respond with gentleness?
Did I consent inwardly?,Did I rejoice in hiddenness?,Did prayer increase gentleness in me afterward?,Did my words produce peace or agitation?,Did I avoid voluntary simplicity?,Did I justify laziness as wisdom?,Can I pray this text simply and repeatedly?,What recurring thought needs confession?
